DEFECTID,XREL,YREL,XINDEX,YINDEX,XSIZE,YSIZE,DEFECTAREA,DSIZE,CLASSNUMBER,TEST,CLUSTERNUMBER,ROUGHBINNUMBER
33,634.703,70.289,54,26,52.601,89.901,214.035,102.01,0,2,0,29
34,34.124,438.682,55,27,5.737,5.738,21.952,7.043,0,2,0,4
35,32.143,115.764,55,27,27.832,141.299,0,0,0,2,0,8
36,634.002,1035.725,55,27,28.648,140.961,188.971,32.517,0,2,0,8
37,633.76,415.838,55,27,28.889,142.085,309.104,43.037,0,2,0,8
38,31.807,1035.535,55,27,29.346,141.691,288.729,42.081,0,2,0,8
39,32.237,115.727,55,32,27.832,141.299,66.351,19.128,0,2,0,8
40,633.999,715.852,55,32,28.557,140.615,123.505,36.343,0,2,0,8
41,634.092,1035.689,55,32,28.652,140.961,168.631,31.561,0,2,0,8
42,633.846,415.802,55,32,28.889,142.085,222.843,39.212,0,2,0,8
43,31.897,1035.499,55,32,29.346,141.691,307.349,36.343,0,2,0,8
44,634.745,680.165,55,37,19.127,27.735,175.618,27.735,0,2,0,4
45,634.006,1034.764,55,37,28.652,140.961,205.135,33.474,0,2,0,8
